SFTAZ,COUNTY,DISTRICT,MTCTAZ,HHLDS,POP,POPD,EMPRES,EMPRESD,CIE,MED,MIPS,PDR,RETAIL,VISITOR,TOTALEMP,EMPD,NETCON,CROSSING,SAFETY,VITALITY,TOPOLOGY,AREATYPE,SUPERDST,MTCEMP,MTCPOP,HHINCQ1,HHINCQ2,HHINCQ3,HHINCQ4,AVGINCQ1,AVGINCQ2,AVGINCQ3,AVGINCQ4,AVGHHINC,SHPOP62P,TOTACRE,RETEMP,SEREMP,OTHEMP,AGREMP,MFGEMP,TRDEMP,SERVICE,PKDISTNO,PKDIST,FREEPARK,SUBPARK,PAIDPARK,PPAYING,PRKAVIND,ONSTREET,OFSTREET,PRKCSTWH,PRKCSTOH,TOTPARK,COLLENROLL,HIGHENROLL,GRADENROLL,SFDU,MFDU,AGE0004,AGE0519,AGE2044,AGE4564,AGE65P,HHPOP,GQPOP,DIST15,DIST22,DIST40,DIST51,STATE,CNTY_ID,CNTY_NAM,PUMA,POWPUMA,PLACE_ID,PLACE_NAM,DIST_PLC_1,DIST_PLC_2,DIST_PLC_N,DIST22NAME,DIST40NAME,DISTPLC2_S
647,1,1,9,749,1389,77.72803581,580,32.45663123,49,22,805,2,28,3,909,50.86737549,3,2,2,3,3,0,1,14884,9592,561,120,61,8,0,0,0,0,0,0.18,17.87,0,0,0,0,0,0,74,4,9,0.286,0.286,0.429,0.383,2.714,0.762,0.238,0.492,0.528,437,1389,0,0,5,744,60,137,605,388,200,1274,115,1,3,1,4,6,6075,SanFrancisco,602203,6022,667000,SanFrancisco,11,1,San Francisco,3,1,1
648,1,1,9,30,58,3.725112396,23,1.477199743,91,9,1649,0,120,2,1871,120.1669878,3,2,2,3,3,0,1,14884,9592,22,5,2,0,0,0,0,0,0,0.18,15.57,0,0,0,0,0,0,102,4,9,0.286,0.286,0.429,0.383,2.714,1,0,0.616,0.898,84,0,0,58,0,30,2,6,25,16,8,51,7,1,3,1,4,6,6075,SanFrancisco,602203,6022,667000,SanFrancisco,11,1,San Francisco,3,1,1
649,1,9,110,52,95,1.784037559,8,0.150234742,0,0,1056,0,3,0,1059,19.88732394,1,1,2,1,1,3,3,1592,1544,28,13,1,10,0,0,0,0,0,0.18,53.25,0,0,0,0,0,0,0,15,14,0.6,0,0.4,0.298,0.2,0.8,0.368,0,0,297,0,0,0,0,52,3,9,42,26,14,95,0,5,4,3,18,6,6075,SanFrancisco,602203,6022,667000,SanFrancisco,11,1,San Francisco,4,3,1
650,1,9,110,88,166,10.21538462,14,0.861538462,0,0,5,0,11,0,16,0.984615385,1,1,1,1,1,3,3,1592,1544,47,22,2,17,0,0,0,0,0,0.18,16.25,0,0,0,0,0,0,0,15,14,0.6,0,0.4,0.298,1.8,1,0,0,0,176,0,0,0,0,88,5,15,74,46,25,162,4,5,4,3,18,6,6075,SanFrancisco,602203,6022,667000,SanFrancisco,11,1,San Francisco,4,3,1
651,1,9,108,169,313,14.77809254,28,1.322001889,25,54,340,103,129,4,655,30.92540132,2,2,2,2,2,2,3,4984,1054,90,43,5,32,0,0,0,0,0,0.18,21.18,0,0,0,0,0,0,83,14,14,0.3,0,0.7,0.337,2.5,1,0,0,0,651,0,0,0,1,168,10,29,140,87,47,312,1,5,4,3,17,6,6075,SanFrancisco,602203,6022,667000,SanFrancisco,11,1,San Francisco,4,3,1
652,1,9,110,0,0,0,0,0,0,0,592,0,3,0,595,24.15753147,1,1,1,1,1,3,3,1592,1544,0,0,0,0,0,0,0,0,0,0.18,24.63,0,0,0,0,0,0,0,15,14,0.6,0,0.4,0.298,0.2,0.8,0.368,0.217,0.601,168,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,18,6,6075,SanFrancisco,602203,6022,667000,SanFrancisco,11,1,San Francisco,4,3,1
653,1,9,110,83,152,8.038075093,13,0.687466949,1,0,40,0,0,0,41,2.168164992,1,1,1,1,1,3,3,1592,1544,44,21,2,16,0,0,0,0,0,0.18,18.91,0,0,0,0,0,0,1,15,14,0.6,0,0.4,0.298,0.2,0.8,0.368,0,0,134,0,0,0,0,83,5,14,68,42,23,152,0,5,4,3,18,6,6075,SanFrancisco,602203,6022,667000,SanFrancisco,11,1,San Francisco,4,3,1
654,1,9,110,153,286,11.92163401,25,1.042100875,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,1592,1544,81,39,4,29,0,0,0,0,0,0.18,23.99,0,0,0,0,0,0,0,15,14,0.6,0,0.4,0.298,1.8,1,0,0,0,260,0,0,0,0,153,9,27,128,80,43,281,5,5,4,3,18,6,6075,SanFrancisco,602203,6022,667000,SanFrancisco,11,1,San Francisco,4,3,1
655,1,9,110,204,375,6.814464837,33,0.599672906,0,0,404,1067,90,30,1591,28.91150282,1,2,2,1,2,3,3,1592,1544,108,52,6,39,0,0,0,0,0,0.18,55.03,0,0,0,0,0,0,30,15,14,0.6,0,0.4,0.298,0.2,0.8,0.368,0.228,0.634,776,0,0,0,1,203,12,35,167,104,56,375,0,5,4,3,18,6,6075,SanFrancisco,602203,6022,667000,SanFrancisco,11,1,San Francisco,4,3,1
656,1,9,109,281,522,25.20521487,46,2.221149203,3,1,15,17,5,0,41,1.979719942,1,2,2,1,2,2,3,5741,7736,149,71,8,53,0,0,0,0,0,0.18,20.71,0,0,0,0,0,0,4,15,14,0.6,0,0.4,0.298,1.8,0.345,0.655,0.467,0.901,449,0,0,0,1,280,17,49,233,145,78,515,7,5,4,3,18,6,6075,SanFrancisco,602203,6022,667000,SanFrancisco,11,1,San Francisco,4,3,1
657,1,9,109,861,1609,80.36963037,141,7.042957043,0,0,73,0,180,0,253,12.63736264,1,2,2,1,2,2,3,5741,7736,455,218,24,163,0,0,0,0,0,0.18,20.02,0,0,0,0,0,0,0,15,14,0.6,0,0.4,0.298,1.8,0.345,0.655,0.471,0.912,524,0,0,0,3,858,53,150,718,448,240,1579,30,5,4,3,18,6,6075,SanFrancisco,602203,6022,667000,SanFrancisco,11,1,San Francisco,4,3,1
658,1,4,69,242,749,16.73743017,404,9.027932961,36,0,27,9,0,0,72,1.608938547,2,2,2,2,2,2,2,5706,7795,72,52,58,60,0,0,0,0,0,0.15,44.75,0,0,0,0,0,0,36,18,7,0.333,0,0.667,0.2,2,0.77,0.23,0,0,443,0,0,0,56,186,24,136,352,144,93,509,240,7,10,4,23,6,6075,SanFrancisco,602201,6022,667000,SanFrancisco,11,1,San Francisco,10,4,1
659,1,4,69,474,1299,59.55983494,792,36.31361761,26,31,99,91,82,2,331,15.17652453,2,2,2,2,2,2,2,5706,7795,142,101,114,118,0,0,0,0,0,0.15,21.81,0,0,0,0,0,0,59,18,7,0.333,0,0.667,0.2,2,1,0,0,0,342,0,0,0,111,363,42,235,611,250,161,999,300,7,10,4,23,6,6075,SanFrancisco,602201,6022,667000,SanFrancisco,11,1,San Francisco,10,4,1
660,1,4,58,392,893,44.51645065,524,26.12163509,116,14,19,21,12,0,182,9.072781655,3,2,3,2,3,3,2,986,5383,124,75,113,81,0,0,0,0,0,0.22,20.06,0,0,0,0,0,0,130,18,5,0.333,0,0.667,0.2,2,1,0,0,0,390,0,0,893,58,334,36,105,319,267,166,887,6,8,9,4,27,6,6075,SanFrancisco,602201,6022,667000,SanFrancisco,11,1,San Francisco,9,4,1
661,1,4,58,434,986,65.38461538,579,38.39522546,46,19,29,28,90,1,213,14.12466844,3,2,3,2,3,3,2,986,5383,137,83,126,89,0,0,0,0,0,0.22,15.08,0,0,0,0,0,0,66,18,5,0.333,0,0.667,0.2,2,1,0,0,0,294,0,0,0,64,370,40,116,352,294,183,979,7,8,9,4,27,6,6075,SanFrancisco,602201,6022,667000,SanFrancisco,11,1,San Francisco,9,4,1
662,1,4,69,312,871,42.24054316,523,25.36372454,11,4678,192,57,31,0,4969,240.9796314,2,2,2,2,2,2,2,5706,7795,93,66,75,78,0,0,0,0,0,0.15,20.62,0,0,0,0,0,0,4689,6,7,0.556,0.056,0.389,0.253,2.136,0.603,0.397,0.208,0.575,406,0,0,0,73,239,28,158,410,168,108,659,212,4,10,4,13,6,6075,SanFrancisco,602201,6022,667000,SanFrancisco,11,1,San Francisco,10,4,1
663,1,4,69,295,816,22.25859247,494,13.4751773,385,174,52,23,225,0,859,23.43153301,2,2,2,2,2,2,2,5706,7795,88,63,71,73,0,0,0,0,0,0.15,36.66,0,0,0,0,0,0,559,6,7,0.556,0.056,0.389,0.253,2.136,1,0,0,0,343,0,596,220,69,226,26,148,384,157,101,622,194,4,10,4,13,6,6075,SanFrancisco,602201,6022,667000,SanFrancisco,11,1,San Francisco,10,4,1
